Pk,Tm,Player,College,Yrs,G,FG%,3P%,FT%,MP2,PTS3,TRB4,AST5,WS,WS/48,BPM,VORP,Year
58,BOS,Lester Hudson,University of Tennessee at Martin,4,57,0.375,0.277,0.806,10.4,4.7,1.4,1.2,0.2,0.016,-2.1,0,2009
58,LAL,Derrick Caracter,Texas-El Paso,1,41,0.485,,0.739,5.2,2,1,0.2,0.3,0.057,-7.1,-0.3,2010
58,LAL,Ater Majok,,,,,,,,,,,,,,,2011
58,MIN,Robbie Hummel,Purdue,2,98,0.418,0.343,0.867,14.3,3.9,2.7,0.5,1.9,0.066,-3.1,-0.4,2012
58,SAS,Deshaun Thomas,Ohio State,,,,,,,,,,,,,,2013
58,SAS,Jordan McRae,Tennessee,4,123,0.417,0.355,0.772,13.8,6.9,1.8,1.4,1.7,0.048,-2.1,0,2014
58,PHI,J.P. Tokoto,UNC,,,,,,,,,,,,,,2015
58,BOS,Abdel Nader,Iowa State,4,188,0.432,0.36,0.725,13,4.7,1.9,0.5,2.8,0.055,-2.5,-0.3,2016
58,NYK,Ognjen Jaramaz,,,,,,,,,,,,,,,2017
58,DEN,Thomas Welsh,UCLA,1,11,0.538,0.429,0.5,3.3,1.6,0.4,0.5,0.1,0.162,1.2,0,2018
59,DET,Deron Washington,Virginia Tech,,,,,,,,,,,,,,2008
59,LAL,Chinemelu Elonu,Texas A&M,,,,,,,,,,,,,,2009
59,SAS,Ádám Hanga,,,,,,,,,,,,,,,2011
59,SAS,Marcus Denmon,Missouri,,,,,,,,,,,,,,2012
59,MIN,Bojan Dubljević,,,,,,,,,,,,,,,2013
59,TOR,Xavier Thames,San Diego State,,,,,,,,,,,,,,2014
59,ATL,Dimitrios Agravanis,,,,,,,,,,,,,,,2015
59,SAC,Isaiah Cousins,Oklahoma,,,,,,,,,,,,,,2016
59,SAS,Jaron Blossomgame,Clemson,1,27,0.443,0.256,0.769,16.3,4.2,3.6,0.5,0.3,0.03,-3.8,-0.2,2017
59,PHO,George King,Colorado,1,1,,,,6,0,1,0,0,-0.001,-7.9,0,2018
60,BOS,Semih Erden,,2,69,0.546,,0.594,13.4,3.8,2.8,0.4,1.8,0.094,-3.6,-0.4,2008
60,MIA,Robert Dozier,Memphis,,,,,,,,,,,,,,2009
60,SAC,Isaiah Thomas,Washington,10,528,0.435,0.363,0.872,28.8,18.1,2.4,4.9,45.2,0.142,2.2,16.3,2011
60,LAL,Robert Sacre,Gonzaga,4,189,0.436,0,0.671,14.5,4.2,3.1,0.7,2.4,0.042,-4,-1.4,2012
60,MEM,Jānis Timma,,,,,,,,,,,,,,,2013
60,SAS,Cory Jefferson,Baylor,2,58,0.444,0.125,0.583,10,3.5,2.8,0.3,0.9,0.071,-3.3,-0.2,2014
60,PHI,Luka Mitrović,,,,,,,,,,,,,,,2015
60,UTA,Tyrone Wallace,California,3,106,0.425,0.203,0.671,15.5,5.2,2.2,1.2,0.2,0.006,-5.1,-1.3,2016
60,ATL,Alpha Kaba,,,,,,,,,,,,,,,2017
60,PHI,Kostas Antetokounmpo,Dayton,3,22,0.375,,0.474,4,1,1,0.1,-0.2,-0.098,-10.2,-0.2,2018
