Pk,Tm,Player,College,Yrs,G,FG%,3P%,FT%,MP2,PTS3,TRB4,AST5,WS,WS/48,BPM,VORP,Year
16,CHI,James Johnson,Wake Forest,12,685,0.475,0.304,0.686,20.6,7.9,3.6,2.1,25.8,0.088,0.7,9.5,2009
16,MIN,Luke Babbitt,Nevada,8,381,0.408,0.402,0.747,14,4.8,2.2,0.6,7.2,0.065,-2.1,-0.1,2010
16,PHI,Nikola Vučević,USC,10,668,0.496,0.357,0.756,30.6,16.9,10.4,2.7,54.4,0.128,2.3,22.4,2011
16,HOU,Royce White,Iowa State,1,3,0,,,3,0,0,0,0,-0.121,-16.9,0,2012
16,BOS,Lucas Nogueira,,4,141,0.632,0.265,0.64,12.4,3.2,2.8,0.5,6,0.165,2.3,1.9,2013
16,CHI,Jusuf Nurkić,,7,355,0.494,0.207,0.668,23.2,11.8,8.2,2.1,19.7,0.115,0.5,5.1,2014
16,BOS,Terry Rozier,Louisville,6,404,0.41,0.376,0.814,24.7,11.5,3.8,2.9,18.1,0.087,0.3,5.8,2015
16,BOS,Guerschon Yabusele,,2,74,0.442,0.323,0.682,6.6,2.3,1.4,0.4,1.1,0.105,-1.9,0,2016
16,CHI,Justin Patton,Creighton,4,22,0.404,0.25,0.667,13.5,3.9,2.7,0.9,0.4,0.066,-2.6,0,2017
16,PHO,Zhaire Smith,Texas Tech,2,13,0.378,0.316,0.667,11,3.7,1.2,0.9,0,0.011,-6.1,-0.2,2018
17,TOR,Roy Hibbert,Georgetown,9,662,0.465,0.25,0.755,24.8,10,6.3,1.3,35.9,0.105,-1.1,3.5,2008
17,PHI,Jrue Holiday,UCLA,12,772,0.457,0.358,0.778,33.2,16,4,6.4,49.5,0.093,1.4,21.7,2009
17,CHI,Kevin Séraphin,,7,423,0.489,0,0.715,15.2,5.9,3.5,0.6,5.9,0.044,-4.3,-3.6,2010
17,NYK,Iman Shumpert,Georgia Tech,10,461,0.391,0.337,0.764,24.9,7.2,3.3,1.8,12.9,0.054,-1.7,0.9,2011
17,DAL,Tyler Zeller,UNC,8,414,0.508,0.286,0.764,17.5,6.9,4.4,0.9,17.1,0.113,-2,0,2012
17,ATL,Dennis Schröder,,8,557,0.436,0.337,0.831,26.2,14.3,2.9,4.7,20.5,0.067,-1.1,3.4,2013
17,BOS,James Young,Kentucky,4,95,0.367,0.277,0.563,8.5,2.3,1,0.3,0.8,0.046,-3.4,-0.3,2014
17,MIL,Rashad Vaughn,UNLV,3,139,0.337,0.313,0.692,12,3,1.1,0.5,-0.6,-0.017,-4.7,-1.2,2015
17,MEM,Wade Baldwin,Vanderbilt,3,56,0.355,0.25,0.776,10.3,3.1,1.2,1.4,-0.3,-0.028,-5.3,-0.5,2016
17,MIL,D.J. Wilson,Michigan,4,142,0.411,0.329,0.598,12.3,4.3,3.1,0.7,2.4,0.067,-2.9,-0.4,2017
17,MIL,Donte DiVincenzo,Villanova,3,159,0.432,0.349,0.728,23.6,9,4.8,2.4,8.5,0.108,0.3,2.2,2018
18,WAS,JaVale McGee,Nevada,13,747,0.571,0.175,0.595,17.1,7.8,5.2,0.4,37.5,0.141,0.1,6.6,2008
18,MIN,Ty Lawson,UNC,8,551,0.46,0.359,0.77,29.2,12.7,2.7,6,42.1,0.126,1.4,13.6,2009
18,OKC,Eric Bledsoe,Kentucky,11,702,0.453,0.337,0.785,28,14,3.9,4.7,44.7,0.109,1.7,18.3,2010
18,WAS,Chris Singleton,Florida State,3,148,0.376,0.319,0.633,17.6,4.1,3.2,0.6,2.3,0.042,-3.2,-0.8,2011
18,HOU,Terrence Jones,Kentucky,6,234,0.501,0.297,0.621,23.8,10.4,5.7,1,14.7,0.127,0.5,3.6,2012
18,ATL,Shane Larkin,Miami (FL),4,256,0.422,0.336,0.777,19.1,5.5,1.9,2.9,4.4,0.044,-2.4,-0.6,2013
18,PHO,Tyler Ennis,Syracuse,4,186,0.419,0.317,0.768,12.6,4.2,1.3,1.9,1.3,0.026,-3.4,-0.8,2014
18,HOU,Sam Dekker,Wisconsin,4,200,0.478,0.288,0.606,15.5,5.5,3,0.8,5.4,0.083,-1.4,0.5,2015
18,DET,Henry Ellenson,Marquette,5,83,0.371,0.336,0.773,9.5,4.1,2.5,0.6,0.4,0.023,-3.7,-0.3,2016
