ID,active_from,active_to,birth_date,college,height (in),name,position,weight,NBA__3ptapg,NBA__3ptpct,NBA__3ptpg,NBA_efgpct,NBA_fg%,NBA_fg_per_game,NBA_fga_per_game,NBA_ft%,NBA_ft_per_g,NBA_fta_p_g,NBA_g_played,NBA_ppg,NCAA__3ptapg,NCAA__3ptpct,NCAA__3ptpg,NCAA_efgpct,NCAA_fgapg,NCAA_fgpct,NCAA_fgpg,NCAA_ft,NCAA_ftapg,NCAA_ftpg,NCAA_games,NCAA_ppg,NBA Games Played,fg%,ppg,effective pct,height/weight,3pt %,Success
430,2002,2006,18-Apr-79,"University of Kentucky, Villanova University",82,Michael Bradley,F-C,245,0.1,0.143,0,0.479,0.477,1.3,2.6,0.511,0.3,0.5,173,2.8,0.3,0.353,0.1,0.68,6.5,0.677,4.4,0.541,3.6,1.9,100,10.9,0.012286932,0.0954,0.027906977,0.063866667,0.066938776,0.0143,0.280699351
439,1992,2002,20-May-70,University of Oregon,71,Terrell Brandon,G,180,1.5,0.355,0.5,0.471,0.448,5.4,12,0.873,2.5,2.8,724,13.8,3.7,0.38,1.4,0.52,16.8,0.484,8.1,0.81,5.5,4.5,57,22.2,0.051420455,0.0896,0.137541528,0.0628,0.078888889,0.0355,0.455750872
446,1995,1998,19-Sep-70,University of Wyoming,79,Tim Breaux,F,215,0.7,0.297,0.2,0.406,0.369,1.1,2.9,0.635,0.6,0.9,102,2.9,2.4,0.358,0.9,0.51,9.5,0.464,4.4,0.678,4.1,2.8,121,12.5,0.007244318,0.0738,0.028903654,0.054133333,0.073488372,0.0297,0.267269678
447,2003,2004,19-Sep-80,St. Bonaventure University,74,J.R. Bremer,G,185,3.6,0.333,1.2,0.441,0.344,2.1,6.2,0.748,1,1.3,100,6.5,6,0.333,2,0.48,12.2,0.403,4.9,0.752,4.8,3.6,112,15.5,0.007102273,0.0688,0.064784053,0.0588,0.08,0.0333,0.312786326
451,2008,2018,5-Mar-86,University of Florida,81,Corey Brewer,F-G,186,2.2,0.283,0.6,0.464,0.425,3.4,7.9,0.713,1.5,2.1,781,8.9,2.6,0.356,0.9,0.54,8.2,0.48,4,0.708,3.6,2.5,108,11.3,0.05546875,0.085,0.088704319,0.061866667,0.087096774,0.0283,0.40643651
452,2002,2005,19-Nov-80,Auburn University,76,Jamison Brewer,G,184,0.6,0.25,0.1,0.415,0.372,0.6,1.7,0.393,0.2,0.5,54,1.6,1,0.22,0.2,0.49,4.5,0.456,2.1,0.527,2.5,1.3,58,5.7,0.003835227,0.0744,0.015946844,0.055333333,0.082608696,0.025,0.2571241
455,2007,2014,20-Mar-85,University of Arkansas,79,Ronnie Brewer,G-F,220,0.7,0.254,0.2,0.505,0.49,3.1,6.3,0.675,1.5,2.2,502,7.8,3.4,0.34,1.2,0.51,11.9,0.462,5.5,0.671,5.4,3.6,90,15.7,0.035653409,0.098,0.077740864,0.067333333,0.071818182,0.0254,0.375945788
471,2017,2018,11-Dec-92,University of Virginia,77,Malcolm Brogdon,G,215,2.9,0.393,1.1,0.531,0.47,4.4,9.3,0.872,1.5,1.7,121,11.4,3.7,0.365,1.4,0.5,10.3,0.43,4.4,0.876,3.5,3.1,136,13.3,0.00859375,0.094,0.113621262,0.0708,0.071627907,0.0393,0.397942919
475,2008,2018,14-Jan-85,University of Oregon,73,Aaron Brooks,G,161,3.4,0.37,1.3,0.488,0.413,3.5,8.5,0.837,1.4,1.7,644,9.7,4.8,0.374,1.8,0.51,10.1,0.43,4.3,0.834,3.2,2.7,115,13.1,0.045738636,0.0826,0.096677741,0.065066667,0.09068323,0.037,0.417766274
476,2018,2018,22-Jan-96,University of Oregon,78,Dillon Brooks,F-G,220,3.2,0.357,1.1,0.499,0.437,4,9.2,0.735,1.4,1.9,80,10.6,3.4,0.362,1.2,0.53,11.4,0.472,5.4,0.794,3.5,2.8,109,14.8,0.005681818,0.0874,0.105647841,0.066533333,0.070909091,0.0357,0.371872083
